hosp_id,hosp_name,hosp_type,hosp_network_status,hosp_registration_number,hosp_pan,hosp_address_line_1,hosp_address_line_2,hosp_address_line_3,hosp_landmark,hosp_city,hosp_district,hosp_state,hosp_country,hosp_pin_code,hosp_latitude,hosp_longitude,hosp_contact_number,hosp_email,hosp_website,hosp_primary_specialty,hosp_secondary_specialty,hosp_total_beds,hosp_emergency_services,hosp_cashless_facility_flag,hosp_opd_facility_flag,hosp_lab_facility_flag,hosp_pharmacy_facility_flag,hosp_ambulance_facility_flag,hosp_operating_theaters,hosp_blood_bank_flag,hosp_cardiac_unit_flag,hosp_neurology_unit_flag,hosp_orthopedic_unit_flag,hosp_oncology_unit_flag,hosp_pediatrics_unit_flag,hosp_maternity_unit_flag,hosp_inspection_date,hosp_inspection_status,hosp_license_expiry_date,hosp_area,hosp_susp_flag,hosp_non_pref_flag,hosp_defunct_flag,hosp_gross_med_negligence_ind,hosp_total_icu_beds,hosp_total_ventilators,hosp_susp_flag_date
HOSP-0011,Kadakia Care,Private,Non-Network,MHMC-59528,OQKGW7756G,69/91 Dewan Road,Chandran Zila,Alwar,Behind Mall,Coimbatore,Coimbatore,Tamil Nadu,India,687695,11.046838,76.915527,+910179621396,vivaan33@sunder.net,www.raval-kale.com,General Medicine,Oncology,216,No,Yes,Yes,No,Yes,Yes,11,Yes,Yes,No,No,No,No,Yes,2025-07-12,Passed,2028-01-25,Urban,No,No,No,0,21,10,
HOSP-0012,Bandi Care,Private,Non-Network,MHMC-75096,HVMXG6262O,H.No. 000 Madan Path,Khare Path,Ahmednagar,,Chennai,Chennai,Tamil Nadu,India,669585,13.09758,80.246086,+918865456967,cdasgupta@sehgal.com,www.mall.net,Pediatrics,General Surgery,722,Yes,Yes,Yes,Yes,Yes,Yes,17,No,Yes,Yes,Yes,No,No,Yes,2025-04-21,Passed,2027-04-03,Urban,No,No,No,0,72,36,
HOSP-0013,Bail Care,Private,Network,MHMC-95477,MIQDR3130Z,H.No. 788 Bawa Chowk,Brar Path,Rohtak,Behind Mall,Coimbatore,Coimbatore,Tamil Nadu,India,673437,10.958325,77.087369,7201996964,vmahajan@yohannan.com,www.saini-bera.com,Pediatrics,General Medicine,715,Yes,Yes,Yes,Yes,Yes,Yes,20,Yes,Yes,No,No,No,Yes,Yes,2024-12-26,Passed,2028-07-13,Urban,No,No,No,0,71,35,
HOSP-0014,Varughese Hospital,Trust,Non-Network,MHMC-48101,LPWJL6495H,H.No. 212- Bera Street,Soni Ganj,Jhansi,Opposite Park,New Delhi,New Delhi,Delhi,India,110083,28.513524,77.105302,+917567477646,mehultandon@sem.info,www.hegde-butala.net,Neurology,,125,Yes,Yes,Yes,Yes,Yes,Yes,7,Yes,Yes,No,Yes,Yes,No,Yes,2024-12-24,Pending,2026-10-15,Urban,No,No,No,0,12,6,
HOSP-0015,Manne Care,Private,Network,MHMC-73268,ZZPGS3603S,H.No. 22 Soman Nagar,Deep Marg,Bhiwandi,Near Metro Station,Bangalore,Bangalore,Karnataka,India,582392,12.92969,77.549616,4298604781,ayesha18@balasubramanian.net,www.sampath.info,Obstetrics & Gynecology,General Medicine,515,Yes,No,Yes,Yes,Yes,Yes,17,No,No,No,Yes,No,Yes,Yes,2024-09-14,Pending,2027-04-27,Urban,No,No,No,0,51,25,
HOSP-0016,Loyal Medical Center,Government,Network,MHMC-85748,QMOPK1653Q,55/526 Wason Street,Khalsa Chowk,Kota,Near Metro Station,Mumbai,Mumbai,Maharashtra,India,466497,19.124253,72.947479,6108128232,qsubramanian@baria.com,www.kohli.biz,Orthopedics,General Medicine,234,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,Yes,No,2024-11-21,Passed,2026-05-23,Rural,No,No,No,0,23,11,
HOSP-0017,Basak Medical Center,Private,Non-Network,MHMC-96341,YFUBY2728Z,031- Chakraborty Circle,Manda Road,Udupi,,Chennai,Chennai,Tamil Nadu,India,619341,12.984665,80.267406,+918446024608,reyansh84@subramaniam.org,www.kanda.com,Orthopedics,Cardiology,546,Yes,Yes,Yes,Yes,Yes,Yes,11,Yes,Yes,No,No,No,Yes,No,2025-04-22,Passed,2028-03-12,Urban,No,No,No,0,54,27,
HOSP-0018,Madan Care,Government,Non-Network,MHMC-76954,ARYZI8658G,50/29- Mangat Circle,Bains Marg,Medininagar,Near Metro Station,Bangalore,Bangalore,Karnataka,India,564550,13.019403,77.661976,7215912674,hrishita79@sampath.com,www.bhat-vyas.com,General Surgery,Cardiology,504,Yes,Yes,Yes,Yes,Yes,No,7,No,No,Yes,Yes,Yes,No,No,2025-01-05,Passed,2026-11-20,Urban,No,No,No,0,50,25,
HOSP-0019,Ramesh Medical Center,Trust,Non-Network,MHMC-88090,CRAOT9190S,18 Dave Street,Gupta Path,Nizamabad,Near Metro Station,Pune,Pune,Maharashtra,India,439971,18.488836,73.939469,+916241586608,nehmat53@viswanathan-khatri.com,www.madan-brahmbhatt.com,Cardiology,Orthopedics,910,Yes,Yes,Yes,No,Yes,No,9,No,No,Yes,No,No,No,Yes,2025-01-27,Passed,2028-01-22,Urban,No,No,No,0,91,45,
HOSP-0020,Sahni Care,Private,Network,MHMC-98154,EICZE6439G,88/82- Bhattacharyya Nagar,Karpe Road,Baranagar,Near Metro Station,Chennai,Chennai,Tamil Nadu,India,621722,13.081672,80.284018,9326818325,aarushdayal@sarraf.info,www.rajagopal.net,Oncology,Obstetrics & Gynecology,963,Yes,Yes,Yes,Yes,Yes,Yes,8,No,Yes,No,Yes,No,Yes,Yes,2025-03-11,Failed,2028-02-03,Urban,No,No,No,0,96,48,
HOSP-0021,Anne Care,Private,Network,MHMC-52550,SLAUP5085B,52/81 Deep Ganj,Chokshi Nagar,Eluru,Behind Mall,Mumbai,Mumbai,Maharashtra,India,460347,18.917863,72.84648,+912433548917,basuyuvaan@sharaf-yadav.org,www.gade-krishnamurthy.biz,Neurology,General Medicine,803,Yes,Yes,Yes,Yes,Yes,Yes,12,Yes,No,Yes,Yes,No,Yes,Yes,2025-04-04,Pending,2026-11-05,Urban,No,No,No,0,80,40,
HOSP-0022,Ravi Medical Center,Government,Non-Network,MHMC-14974,YDZDY7651D,077- Gokhale Circle,Bajwa Circle,Anantapuram,Behind Mall,Coimbatore,Coimbatore,Tamil Nadu,India,670175,11.018375,76.959308,9297154858,godaarhaan@mane-kumar.com,www.chand.com,General Surgery,Pediatrics,137,Yes,Yes,Yes,Yes,No,Yes,20,Yes,No,Yes,No,No,Yes,No,2025-06-13,Passed,2026-07-23,Urban,No,No,No,0,13,6,
HOSP-0023,Upadhyay Medical Center,Trust,Network,MHMC-46036,EHCJV1529G,H.No. 07- Ramanathan Circle,Dara Road,Gulbarga,Near Metro Station,Bangalore,Bangalore,Karnataka,India,580771,12.821496,77.686356,08359870837,ckonda@kaur.com,www.deol.biz,Orthopedics,,408,Yes,No,Yes,Yes,Yes,No,20,No,No,No,Yes,No,Yes,Yes,2025-03-29,Passed,2026-06-24,Urban,No,No,No,0,40,20,
HOSP-0024,Bhattacharyya Hospital,Private,Network,MHMC-71352,KMYTU6391L,88/47 Malhotra Street,Rattan Circle,Ongole,,Coimbatore,Coimbatore,Tamil Nadu,India,669536,10.924625,76.917713,05295027182,dayaltejas@kohli.info,www.sem-anne.com,Obstetrics & Gynecology,,224,Yes,Yes,Yes,Yes,Yes,No,14,Yes,No,Yes,Yes,No,No,Yes,2024-10-09,Pending,2026-08-07,Urban,No,No,No,0,22,11,
HOSP-0025,Vala Hospital,Private,Network,MHMC-91087,WJHGE5937X,H.No. 22 Ghose Circle,Saha Street,Barasat,,Pune,Pune,Maharashtra,India,470347,18.473899,73.887407,2195664251,navyabadal@bora.biz,www.chana-manne.com,Neurology,General Medicine,296,No,Yes,Yes,Yes,Yes,Yes,12,Yes,No,No,No,Yes,Yes,Yes,2025-01-08,Passed,2027-03-01,Urban,No,No,No,0,29,14,
HOSP-0026,Borah Medical Center,Private,Network,MHMC-79475,NDRMQ1110O,291 Dhingra Road,Rajan Ganj,Ambala,Near Metro Station,Nagpur,Nagpur,Maharashtra,India,459927,21.095035,79.072156,09410087641,tchad@jhaveri.com,www.bala.info,General Medicine,Orthopedics,399,No,Yes,Yes,Yes,Yes,No,16,Yes,Yes,No,Yes,No,Yes,No,2024-12-04,Passed,2026-05-31,Rural,No,No,No,0,39,19,
HOSP-0027,Shan Care,Government,Network,MHMC-21633,AKTYH3339M,H.No. 19 Shan Road,Bhatia Zila,Amravati,,Chennai,Chennai,Tamil Nadu,India,640674,13.071977,80.299605,8184895662,siya57@dave.com,www.kibe-kumar.net,Pediatrics,General Medicine,56,Yes,No,Yes,Yes,Yes,Yes,7,Yes,Yes,No,Yes,No,No,No,2025-02-18,Passed,2026-06-19,Rural,No,No,No,0,5,2,
HOSP-0028,Kala Hospital,Government,Network,MHMC-17731,OVLRS1718I,69- Chawla Street,Garde Chowk,Bhusawal,,New Delhi,New Delhi,Delhi,India,110090,28.613417,77.278668,5093086678,saksham01@kalita.com,www.majumdar-kunda.com,Neurology,Obstetrics & Gynecology,104,Yes,Yes,Yes,Yes,Yes,No,16,Yes,No,Yes,Yes,No,No,Yes,2024-10-22,Passed,2027-10-13,Urban,No,No,No,0,10,5,
HOSP-0029,Jhaveri Medical Center,Private,Network,MHMC-93988,XXTHG6537J,66- Yadav Zila,Chaudhari,Jaunpur,,Chennai,Chennai,Tamil Nadu,India,601818,12.949362,80.26021,+911252005300,mallickdarshit@chander.org,www.garde-mangal.info,Orthopedics,Obstetrics & Gynecology,509,Yes,No,Yes,Yes,Yes,Yes,20,Yes,No,No,No,No,Yes,Yes,2025-02-16,Passed,2027-03-08,Rural,No,No,No,0,50,25,
HOSP-0030,Jayaraman Care,Private,Network,MHMC-90361,OZFGZ6118V,88- Mahajan Chowk,Kuruvilla Circle,Tezpur,Opposite Park,Howrah,Howrah,West Bengal,India,700994,22.514131,88.297193,00566170727,kavya66@sarma-vig.com,www.choudhry.org,General Surgery,Pediatrics,571,Yes,No,Yes,Yes,Yes,Yes,10,No,No,Yes,No,Yes,No,Yes,2025-01-31,Passed,2027-09-06,Rural,No,No,No,0,57,28,
HOSP-0031,Vohra Care,Private,Non-Network,MHMC-63630,EMSQT5543R,228- Viswanathan,Kapoor Nagar,Ozhukarai,Behind Mall,Madurai,Madurai,Tamil Nadu,India,671609,9.917984,78.077257,00376062442,ojas82@deshpande-ghose.net,www.mani.com,Oncology,,886,Yes,Yes,Yes,Yes,No,No,1,Yes,No,Yes,Yes,No,Yes,Yes,2024-10-29,Passed,2028-04-28,Urban,No,No,No,0,88,44,
HOSP-0032,Karan Hospital,Private,Non-Network,MHMC-15738,FHRDM6390M,430 Kadakia Chowk,Shan,Bhiwani,Opposite Park,Nagpur,Nagpur,Maharashtra,India,405876,21.086512,79.113341,+911657265947,vidur56@das.com,www.khanna.com,Obstetrics & Gynecology,Neurology,194,Yes,Yes,Yes,Yes,Yes,Yes,17,No,Yes,No,Yes,No,Yes,No,2025-04-20,Passed,2026-04-14,Urban,No,No,No,0,19,9,
HOSP-0033,Kalla Medical Center,Private,Network,MHMC-81229,GAARE2530T,75/26 Bava Road,Mani Ganj,Adoni,Near Metro Station,Madurai,Madurai,Tamil Nadu,India,609859,9.93019,78.114773,+918135757891,neysabalan@rajan.biz,www.sahni.com,Orthopedics,Oncology,935,No,Yes,Yes,Yes,Yes,Yes,2,Yes,No,No,Yes,Yes,Yes,Yes,2024-12-12,Pending,2027-01-15,Rural,No,No,No,0,93,46,
HOSP-0034,Anand Care,Private,Network,MHMC-11424,PUPNN3645N,78- Kashyap Road,Jain Zila,Mahbubnagar,Opposite Park,New Delhi,New Delhi,Delhi,India,110071,28.564688,77.188403,+914837804098,taransolanki@bhavsar.com,www.luthra.org,Obstetrics & Gynecology,,330,Yes,Yes,Yes,No,Yes,Yes,4,No,Yes,No,Yes,No,No,No,2025-04-21,Passed,2028-01-03,Urban,No,No,No,0,33,16,
HOSP-0035,Gade Hospital,Private,Non-Network,MHMC-91543,CFMHC9355B,31/92 Warrior,Ghose Ganj,Unnao,Behind Mall,New Delhi,New Delhi,Delhi,India,110020,28.626856,77.218282,2889674967,sairadeol@shanker.net,www.khosla.com,General Medicine,Pediatrics,106,Yes,Yes,Yes,Yes,Yes,No,6,Yes,No,Yes,Yes,Yes,Yes,No,2025-02-28,Passed,2026-03-23,Urban,No,Yes,No,0,10,5,
HOSP-0036,Raman Hospital,Private,Network,MHMC-73189,YOCSP4122H,H.No. 46- Wadhwa Zila,Ganesh Zila,Rajkot,Near Metro Station,Bangalore,Bangalore,Karnataka,India,568694,12.942824,77.518148,+918329212540,veerlal@reddy.com,www.chauhan-gole.net,Obstetrics & Gynecology,Oncology,489,Yes,No,No,Yes,Yes,No,19,Yes,Yes,Yes,Yes,Yes,No,No,2025-04-14,Passed,2027-11-03,Urban,No,No,No,0,48,24,
HOSP-0037,Jani Hospital,Government,Network,MHMC-68486,HLWLR7614Z,09/278 Garg Ganj,Gour Circle,Siwan,,Mysore,Mysore,Karnataka,India,574363,12.385195,76.614896,02234238953,arhaandalal@yadav.com,www.sunder-kant.biz,Pediatrics,,845,Yes,Yes,Yes,Yes,Yes,No,7,No,Yes,Yes,Yes,Yes,Yes,No,2025-05-29,Passed,2027-12-06,Rural,No,No,No,0,84,42,
HOSP-0038,Tiwari Medical Center,Private,Non-Network,MHMC-72176,BFMVT2784Y,06/48- Sachdev Path,Yadav Marg,Anantapuram,,Howrah,Howrah,West Bengal,India,796530,22.594769,88.286801,+918222434192,indrajit74@bahri-contractor.com,www.toor.com,Cardiology,General Surgery,110,Yes,Yes,Yes,Yes,Yes,No,13,No,Yes,Yes,No,No,Yes,Yes,2024-11-17,Passed,2028-05-28,Urban,No,No,No,0,11,5,
HOSP-0039,Bhardwaj Hospital,Private,Network,MHMC-40170,KJRXA5037C,47/449- Goel Ganj,Bhatnagar Chowk,Aurangabad,Opposite Park,Kolkata,Kolkata,West Bengal,India,794692,22.57407,88.499793,3769114918,sana51@kala.info,www.sagar.com,Pediatrics,,441,Yes,Yes,Yes,No,Yes,No,15,Yes,Yes,No,Yes,No,No,Yes,2025-04-01,Pending,2027-01-09,Urban,No,No,No,0,44,22,
HOSP-0040,Karnik Medical Center,Private,Non-Network,MHMC-12622,TQHYY4361K,H.No. 07 Dey Circle,Mallick Zila,Muzaffarpur,Opposite Park,Mumbai,Mumbai,Maharashtra,India,473713,19.006906,72.976929,+913035427309,chaudrypurab@batra-desai.com,www.bora-rege.com,Neurology,General Medicine,234,Yes,Yes,Yes,Yes,Yes,Yes,17,No,No,Yes,No,No,Yes,No,2024-12-11,Passed,2026-04-14,Urban,No,No,No,0,23,11,
HOSP-0041,Goel Care,Government,Non-Network,MHMC-77859,ITQPC0889K,84- Sodhi Chowk,Malhotra Circle,Jalgaon,Behind Mall,Pune,Pune,Maharashtra,India,427064,18.555146,73.913311,07119505988,vanyatara@bhatnagar-dasgupta.info,www.saha-kamdar.net,Orthopedics,Cardiology,651,Yes,Yes,Yes,Yes,Yes,No,4,No,No,No,No,No,No,Yes,2025-01-30,Pending,2027-06-04,Rural,No,No,No,0,65,32,
HOSP-0042,Mahal Medical Center,Private,Network,MHMC-48626,AIVWR8148C,38/78 Kade Street,Sampath Path,Adoni,Near Metro Station,Mumbai,Mumbai,Maharashtra,India,424936,19.003572,72.835688,6105598059,pranaytailor@rastogi.com,www.virk.com,Orthopedics,,699,Yes,No,Yes,Yes,No,Yes,4,No,No,Yes,No,No,Yes,No,2024-11-16,Passed,2026-04-19,Urban,No,No,No,0,69,34,
HOSP-0043,Dhaliwal Care,Private,Network,MHMC-22154,KYWXW6158A,H.No. 98- Wason Road,Manne Zila,Ambattur,Near Metro Station,Mumbai,Mumbai,Maharashtra,India,428972,19.162517,72.839891,+910878987581,mishtivasa@sodhi.com,www.wable.com,Obstetrics & Gynecology,Oncology,442,Yes,Yes,Yes,Yes,Yes,Yes,8,Yes,Yes,No,No,No,No,Yes,2025-07-01,Pending,2027-06-26,Urban,No,No,No,0,44,22,
HOSP-0044,Sengupta Hospital,Trust,Network,MHMC-55721,YRHBS0510F,H.No. 104 Yohannan Zila,Raj Zila,Malda,Behind Mall,Bangalore,Bangalore,Karnataka,India,573538,12.849084,77.500911,+914114480867,vsandhu@devi.com,www.bala.org,General Medicine,Neurology,861,Yes,No,Yes,Yes,Yes,Yes,10,Yes,No,Yes,No,Yes,No,No,2025-04-13,Passed,2027-12-19,Rural,No,No,No,0,86,43,
HOSP-0045,Gola Medical Center,Private,Network,MHMC-21272,WXOLZ3993V,H.No. 14 Karnik Road,Konda Chowk,Amroha,,Mumbai,Mumbai,Maharashtra,India,454891,19.086972,72.992134,8821793784,romil51@khosla.net,www.ram-saran.biz,General Surgery,Neurology,588,No,Yes,Yes,Yes,Yes,Yes,14,Yes,Yes,No,No,Yes,Yes,No,2024-08-15,Passed,2026-11-02,Rural,No,No,No,0,58,29,
HOSP-0046,Anand Medical Center,Government,Network,MHMC-61335,GBZRQ7140Q,30/01 Mammen Chowk,Srinivas Chowk,Ambarnath,,Coimbatore,Coimbatore,Tamil Nadu,India,698283,11.034472,77.012959,+911833181472,wadhwashanaya@walia.org,www.balan.info,General Surgery,Cardiology,691,Yes,No,No,Yes,No,Yes,6,Yes,No,No,No,No,No,Yes,2024-08-13,Passed,2026-12-17,Urban,No,No,No,0,69,34,
HOSP-0047,Sinha Medical Center,Private,Network,MHMC-61786,SXMOS9406B,01- Kashyap Zila,Chana Path,Durg,,Bangalore,Bangalore,Karnataka,India,567487,12.895133,77.533725,+918776179258,mahika57@dar.com,www.kurian.com,Cardiology,Orthopedics,134,Yes,Yes,Yes,Yes,Yes,Yes,13,Yes,Yes,No,No,No,Yes,Yes,2024-09-17,Passed,2026-12-24,Urban,No,No,No,0,13,6,
HOSP-0048,Gade Hospital,Government,Network,MHMC-22887,KNPIF4959F,09- Bandi Zila,Krishna Zila,Jalandhar,Opposite Park,Nagpur,Nagpur,Maharashtra,India,433541,21.091556,79.136528,6046033705,yogikanav@hora-subramanian.com,www.khalsa.com,Pediatrics,Neurology,849,Yes,Yes,Yes,Yes,Yes,No,15,No,No,No,No,No,No,No,2025-06-16,Passed,2026-11-23,Urban,No,No,No,0,84,42,
HOSP-0049,Garde Medical Center,Charitable,Non-Network,MHMC-59159,MTHWU7661X,H.No. 13- Deshmukh,Kala Chowk,Tumkur,Behind Mall,Chennai,Chennai,Tamil Nadu,India,631489,12.98135,80.238185,+917724414857,bhattidivit@behl-subramanian.com,www.kohli.com,Pediatrics,General Surgery,427,Yes,Yes,Yes,Yes,Yes,Yes,12,Yes,Yes,No,Yes,No,Yes,No,2024-12-31,Passed,2028-04-07,Urban,No,No,No,0,42,21,
HOSP-0050,Chaudhuri Hospital,Private,Network,MHMC-75662,TSAYF2564L,447 Mallick Ganj,Bhalla Ganj,Serampore,,Kolkata,Kolkata,West Bengal,India,734414,22.567481,88.382871,0729461703,kabir07@sani.com,www.sani-shanker.info,General Medicine,Cardiology,128,Yes,Yes,Yes,Yes,Yes,Yes,2,No,No,No,No,No,No,Yes,2024-11-28,Passed,2026-08-27,Rural,No,No,No,0,12,6,
