policy_number,member_id
POL-13610,MEMBER-005090
POL-13610,MEMBER-003377
POL-13610,MEMBER-004272
POL-18571,MEMBER-004600
POL-18571,MEMBER-005126
POL-18571,MEMBER-006734
POL-11181,MEMBER-005926
POL-11181,MEMBER-002530
POL-12903,MEMBER-001564
POL-14412,MEMBER-001589
POL-14412,MEMBER-002750
POL-14412,MEMBER-003289
POL-14412,MEMBER-000525
POL-14412,MEMBER-006845
POL-14278,MEMBER-005886
POL-14278,MEMBER-000650
POL-14278,MEMBER-002063
POL-14278,MEMBER-005987
POL-14278,MEMBER-004632
POL-11310,MEMBER-000455
POL-11310,MEMBER-006944
POL-11310,MEMBER-004785
POL-11310,MEMBER-004142
POL-11310,MEMBER-004174
POL-17609,MEMBER-002010
POL-11950,MEMBER-000199
POL-11950,MEMBER-006621
POL-11950,MEMBER-004641
POL-11661,MEMBER-006865
POL-11661,MEMBER-004096
POL-10511,MEMBER-002718
POL-10511,MEMBER-006447
POL-10511,MEMBER-003996
POL-10511,MEMBER-006534
POL-18988,MEMBER-005465
POL-17161,MEMBER-000043
POL-17161,MEMBER-000382
POL-17161,MEMBER-002275
POL-16201,MEMBER-005068
POL-16201,MEMBER-005804
POL-16201,MEMBER-006951
POL-16201,MEMBER-005971
POL-17063,MEMBER-003114
POL-17063,MEMBER-002784
POL-14965,MEMBER-003062
POL-16983,MEMBER-005929
POL-16983,MEMBER-001268
POL-16983,MEMBER-005844
POL-16983,MEMBER-000009
POL-16983,MEMBER-005381
POL-16277,MEMBER-004871
POL-16277,MEMBER-005275
POL-18215,MEMBER-000233
POL-18215,MEMBER-000986
POL-18215,MEMBER-001873
POL-18215,MEMBER-005358
POL-18215,MEMBER-002493
POL-18210,MEMBER-004428
POL-18210,MEMBER-003367
POL-15238,MEMBER-005615
POL-15238,MEMBER-003492
POL-15128,MEMBER-002653
POL-15128,MEMBER-004607
POL-15128,MEMBER-005210
POL-15128,MEMBER-000891
POL-15128,MEMBER-003474
POL-13195,MEMBER-003717
POL-13195,MEMBER-006608
POL-13195,MEMBER-004286
POL-19654,MEMBER-000924
POL-19654,MEMBER-005112
POL-19654,MEMBER-004075
POL-19654,MEMBER-002030
POL-19654,MEMBER-004919
POL-18801,MEMBER-004467
POL-10571,MEMBER-003352
POL-10571,MEMBER-001698
POL-10571,MEMBER-005256
POL-10571,MEMBER-002059
POL-10571,MEMBER-005971
POL-11693,MEMBER-001109
POL-11693,MEMBER-005499
POL-11693,MEMBER-001596
POL-15117,MEMBER-002695
POL-15117,MEMBER-000777
POL-15117,MEMBER-006432
POL-15117,MEMBER-002464
POL-17868,MEMBER-004252
POL-17868,MEMBER-005828
POL-19518,MEMBER-000605
POL-19518,MEMBER-002469
POL-19518,MEMBER-000766
POL-13892,MEMBER-000698
POL-13892,MEMBER-001665
POL-13892,MEMBER-006315
POL-13892,MEMBER-000451
POL-13892,MEMBER-006704
POL-15729,MEMBER-006930
POL-15729,MEMBER-003251
POL-15729,MEMBER-001877
POL-15729,MEMBER-000627
POL-10311,MEMBER-002744
POL-18909,MEMBER-003825
POL-18909,MEMBER-005477
POL-17515,MEMBER-001202
POL-17515,MEMBER-002914
POL-17515,MEMBER-003399
POL-17515,MEMBER-005121
POL-17515,MEMBER-001203
POL-19139,MEMBER-003923
POL-19139,MEMBER-005116
POL-19139,MEMBER-006606
POL-19139,MEMBER-004389
POL-19139,MEMBER-001822
POL-17420,MEMBER-005561
POL-17420,MEMBER-002416
POL-17420,MEMBER-006088
POL-17420,MEMBER-002831
POL-17420,MEMBER-004888
POL-19127,MEMBER-004577
POL-19127,MEMBER-003408
POL-19127,MEMBER-000021
POL-19127,MEMBER-001773
POL-14610,MEMBER-004383
POL-14610,MEMBER-000903
POL-12142,MEMBER-006449
POL-12142,MEMBER-005916
POL-12142,MEMBER-005439
POL-12142,MEMBER-005984
POL-17167,MEMBER-005103
POL-17167,MEMBER-000057
POL-17167,MEMBER-001924
POL-17167,MEMBER-003448
POL-18927,MEMBER-006213
POL-18927,MEMBER-003358
POL-18927,MEMBER-002307
POL-18944,MEMBER-001324
POL-18944,MEMBER-001565
POL-18944,MEMBER-003572
POL-18944,MEMBER-000234
POL-14909,MEMBER-006626
POL-14909,MEMBER-000308
POL-14909,MEMBER-005646
POL-19847,MEMBER-005782
POL-19847,MEMBER-004369
POL-19847,MEMBER-000842
POL-13461,MEMBER-003139
POL-13461,MEMBER-003796
POL-13461,MEMBER-006868
POL-10710,MEMBER-005643
POL-10710,MEMBER-006002
POL-10710,MEMBER-005973
POL-10710,MEMBER-005125
POL-10710,MEMBER-000531
POL-16491,MEMBER-000188
POL-16491,MEMBER-002366
POL-16491,MEMBER-000520
POL-16491,MEMBER-006595
POL-12958,MEMBER-002131
POL-12958,MEMBER-000725
POL-12958,MEMBER-000840
POL-12958,MEMBER-005730
POL-12958,MEMBER-006535
POL-12706,MEMBER-003891
POL-12706,MEMBER-000487
POL-12706,MEMBER-006126
POL-10537,MEMBER-001298
POL-10537,MEMBER-003992
POL-10537,MEMBER-002577
POL-16809,MEMBER-002177
POL-12900,MEMBER-003056
POL-12900,MEMBER-006622
POL-12900,MEMBER-001271
POL-12900,MEMBER-000620
POL-12900,MEMBER-005786
POL-18948,MEMBER-006709
POL-18948,MEMBER-004697
POL-13884,MEMBER-005485
POL-13884,MEMBER-001346
POL-10561,MEMBER-001934
POL-10561,MEMBER-001083
POL-10561,MEMBER-003871
POL-10561,MEMBER-000522
POL-10561,MEMBER-004215
POL-15904,MEMBER-000027
POL-15904,MEMBER-005072
POL-15904,MEMBER-004257
POL-15904,MEMBER-001856
POL-14866,MEMBER-004089
POL-14866,MEMBER-006563
POL-14866,MEMBER-001723
POL-14866,MEMBER-006531
POL-14866,MEMBER-004290
POL-11099,MEMBER-005408
POL-11804,MEMBER-000988
POL-12812,MEMBER-002932
POL-12812,MEMBER-002687
POL-12812,MEMBER-000541
POL-12812,MEMBER-000485
POL-12812,MEMBER-000637
POL-12791,MEMBER-003782
POL-12791,MEMBER-003360
POL-12791,MEMBER-001701
POL-12791,MEMBER-000326
POL-11005,MEMBER-006465
POL-11005,MEMBER-003588
POL-15898,MEMBER-003312
POL-15898,MEMBER-006899
POL-15898,MEMBER-006237
POL-15898,MEMBER-004498
POL-18552,MEMBER-005355
POL-10207,MEMBER-006283
POL-11918,MEMBER-006363
POL-11918,MEMBER-005172
POL-11918,MEMBER-005542
POL-11918,MEMBER-005871
POL-12184,MEMBER-002455
POL-10526,MEMBER-001047
POL-10526,MEMBER-000113
POL-10526,MEMBER-004018
POL-15388,MEMBER-001283
POL-15388,MEMBER-001642
POL-17746,MEMBER-004756
POL-17746,MEMBER-000581
POL-17746,MEMBER-005533
POL-12909,MEMBER-002183
POL-12909,MEMBER-003249
POL-12909,MEMBER-004461
POL-11118,MEMBER-003429
POL-11118,MEMBER-000313
POL-15393,MEMBER-000858
POL-15393,MEMBER-002478
POL-15393,MEMBER-002488
POL-13481,MEMBER-002178
POL-13481,MEMBER-003555
POL-16024,MEMBER-001421
POL-16024,MEMBER-002412
POL-12148,MEMBER-001504
POL-12148,MEMBER-005994
POL-19542,MEMBER-004110
POL-19542,MEMBER-000326
POL-19542,MEMBER-001213
POL-19542,MEMBER-004065
POL-11217,MEMBER-006191
POL-11217,MEMBER-003735
POL-11217,MEMBER-002382
POL-11217,MEMBER-002153
POL-11217,MEMBER-001808
POL-19727,MEMBER-005888
POL-19727,MEMBER-002308
POL-19727,MEMBER-004175
POL-19727,MEMBER-003488
POL-10325,MEMBER-006296
POL-10325,MEMBER-005239
POL-10325,MEMBER-006144
POL-10325,MEMBER-005202
POL-14365,MEMBER-001964
POL-16628,MEMBER-006663
POL-16628,MEMBER-002301
POL-16628,MEMBER-000805
POL-16628,MEMBER-002915
POL-13950,MEMBER-001155
POL-13950,MEMBER-000852
POL-13950,MEMBER-001271
POL-17761,MEMBER-006501
POL-12884,MEMBER-002220
POL-12884,MEMBER-000077
POL-12884,MEMBER-006985
POL-11223,MEMBER-003795
POL-14257,MEMBER-002136
POL-14257,MEMBER-000373
POL-14257,MEMBER-000291
POL-14257,MEMBER-001895
POL-14257,MEMBER-002375
POL-15367,MEMBER-000229
POL-15367,MEMBER-001799
POL-15367,MEMBER-003669
POL-15367,MEMBER-000449
POL-18255,MEMBER-005503
POL-18255,MEMBER-004377
POL-18255,MEMBER-006466
POL-18255,MEMBER-001157
POL-10195,MEMBER-000029
POL-10195,MEMBER-001092
POL-19043,MEMBER-006211
POL-12335,MEMBER-003001
POL-12335,MEMBER-000934
POL-15471,MEMBER-006505
POL-15471,MEMBER-003888
POL-15471,MEMBER-001707
POL-15471,MEMBER-003326
POL-12895,MEMBER-006854
POL-12895,MEMBER-006591
POL-12895,MEMBER-004428
POL-12895,MEMBER-004952
POL-13588,MEMBER-006097
POL-13588,MEMBER-003039
POL-13588,MEMBER-001072
POL-13588,MEMBER-004114
POL-16071,MEMBER-006606
POL-16071,MEMBER-005913
POL-11930,MEMBER-000543
POL-11930,MEMBER-003800
POL-11930,MEMBER-000378
POL-11930,MEMBER-000398
POL-17398,MEMBER-004709
POL-17398,MEMBER-001929
POL-12466,MEMBER-006701
POL-12466,MEMBER-006101
POL-12466,MEMBER-005582
POL-12466,MEMBER-002740
POL-10774,MEMBER-006834
POL-10774,MEMBER-004828
POL-15258,MEMBER-004991
POL-15258,MEMBER-001789
POL-15258,MEMBER-003793
POL-10202,MEMBER-002833
POL-10202,MEMBER-006699
POL-16179,MEMBER-001031
POL-16179,MEMBER-004091
POL-18125,MEMBER-002136
POL-18125,MEMBER-000075
POL-18125,MEMBER-004324
POL-14925,MEMBER-000846
POL-14925,MEMBER-006759
POL-14925,MEMBER-001191
POL-14925,MEMBER-005283
POL-12740,MEMBER-000112
POL-12740,MEMBER-006479
POL-17749,MEMBER-002620
POL-17749,MEMBER-004702
POL-16535,MEMBER-006183
POL-16535,MEMBER-004254
POL-16535,MEMBER-004849
POL-16535,MEMBER-005439
POL-17028,MEMBER-000879
POL-17028,MEMBER-004559
POL-10894,MEMBER-005620
POL-15873,MEMBER-002102
POL-15873,MEMBER-006388
POL-15873,MEMBER-001482
POL-19904,MEMBER-003216
POL-19904,MEMBER-004718
POL-11628,MEMBER-005020
POL-11628,MEMBER-006532
POL-11628,MEMBER-006930
POL-11628,MEMBER-002962
POL-11628,MEMBER-003135
POL-17732,MEMBER-000975
POL-17732,MEMBER-006462
POL-17732,MEMBER-001055
POL-17732,MEMBER-000622
POL-17732,MEMBER-003183
POL-14157,MEMBER-001961
POL-14157,MEMBER-005971
POL-12687,MEMBER-004751
POL-12687,MEMBER-005419
POL-12687,MEMBER-006718
POL-12687,MEMBER-005396
POL-12687,MEMBER-003152
POL-19350,MEMBER-005923
POL-19350,MEMBER-006221
POL-11956,MEMBER-006265
POL-19628,MEMBER-000729
POL-19628,MEMBER-002779
POL-19628,MEMBER-000463
POL-19628,MEMBER-000281
POL-18682,MEMBER-004646
POL-18682,MEMBER-002429
POL-18682,MEMBER-000145
POL-18682,MEMBER-002084
POL-17271,MEMBER-001170
POL-17271,MEMBER-003433
POL-13763,MEMBER-001557
POL-13763,MEMBER-002149
POL-12580,MEMBER-006755
POL-12580,MEMBER-006069
POL-12580,MEMBER-001641
POL-12580,MEMBER-001472
POL-12580,MEMBER-005731
POL-11011,MEMBER-006077
POL-11011,MEMBER-006511
POL-11011,MEMBER-000487
POL-10786,MEMBER-003821
POL-10786,MEMBER-003896
POL-13282,MEMBER-003014
POL-13282,MEMBER-001305
POL-13282,MEMBER-005239
POL-16299,MEMBER-000702
POL-16299,MEMBER-004163
POL-16299,MEMBER-000431
POL-16299,MEMBER-000587
POL-12573,MEMBER-002032
POL-12573,MEMBER-002913
POL-12573,MEMBER-002171
POL-12573,MEMBER-003390
POL-12573,MEMBER-001072
POL-12644,MEMBER-006700
POL-12644,MEMBER-004929
POL-18753,MEMBER-004575
POL-18753,MEMBER-001935
POL-18753,MEMBER-000470
POL-18753,MEMBER-000041
POL-18753,MEMBER-004117
POL-14869,MEMBER-004913
POL-14869,MEMBER-000947
POL-14869,MEMBER-003164
POL-13381,MEMBER-006070
POL-13381,MEMBER-002432
POL-13381,MEMBER-005134
POL-18613,MEMBER-005001
POL-13019,MEMBER-005249
POL-13019,MEMBER-002405
POL-13019,MEMBER-005574
POL-13019,MEMBER-003115
POL-13019,MEMBER-002732
POL-18298,MEMBER-006670
POL-18298,MEMBER-006802
POL-18298,MEMBER-000842
POL-17784,MEMBER-001665
POL-17784,MEMBER-001532
POL-17784,MEMBER-006163
POL-17784,MEMBER-002648
POL-17784,MEMBER-001683
POL-18431,MEMBER-000403
POL-18431,MEMBER-000246
POL-18431,MEMBER-004447
POL-17030,MEMBER-002031
POL-17030,MEMBER-005665
POL-17030,MEMBER-002578
POL-17030,MEMBER-005511
POL-17030,MEMBER-002692
POL-19828,MEMBER-002804
POL-19828,MEMBER-006005
POL-19828,MEMBER-004951
POL-14995,MEMBER-004194
POL-14995,MEMBER-001814
POL-14995,MEMBER-003288
POL-11280,MEMBER-006053
POL-11280,MEMBER-000289
POL-11280,MEMBER-001874
POL-11280,MEMBER-003080
POL-17638,MEMBER-000494
POL-17638,MEMBER-005679
POL-17638,MEMBER-003612
POL-17638,MEMBER-005790
POL-11185,MEMBER-000399
POL-11185,MEMBER-002509
POL-11185,MEMBER-000340
POL-11593,MEMBER-000031
POL-15726,MEMBER-002807
POL-17377,MEMBER-004839
POL-16324,MEMBER-001411
POL-16324,MEMBER-006616
POL-16324,MEMBER-004381
POL-16324,MEMBER-003540
POL-14265,MEMBER-001953
POL-14265,MEMBER-003729
POL-14265,MEMBER-006388
POL-13902,MEMBER-006630
POL-13902,MEMBER-003264
POL-17048,MEMBER-005453
POL-17048,MEMBER-004680
POL-17048,MEMBER-002886
POL-10706,MEMBER-002468
POL-10706,MEMBER-001540
POL-16029,MEMBER-000556
POL-16029,MEMBER-001956
POL-16029,MEMBER-003928
POL-16029,MEMBER-005183
POL-16029,MEMBER-003897
POL-14533,MEMBER-004251
POL-14533,MEMBER-000949
POL-13398,MEMBER-006694
POL-13398,MEMBER-005495
POL-13398,MEMBER-005774
POL-16789,MEMBER-003626
POL-16789,MEMBER-004840
POL-17332,MEMBER-002649
POL-17332,MEMBER-005164
POL-17332,MEMBER-005191
POL-17332,MEMBER-004674
POL-17808,MEMBER-004310
POL-17808,MEMBER-002670
POL-15721,MEMBER-002532
POL-15721,MEMBER-005877
POL-15721,MEMBER-000975
POL-18185,MEMBER-002167
POL-18185,MEMBER-003402
POL-12242,MEMBER-005042
POL-12242,MEMBER-004181
POL-17280,MEMBER-000419
POL-12408,MEMBER-006326
POL-12408,MEMBER-002355
POL-12408,MEMBER-005679
POL-17457,MEMBER-004034
POL-17457,MEMBER-005650
POL-17457,MEMBER-005378
POL-17457,MEMBER-004718
POL-16619,MEMBER-002082
POL-16619,MEMBER-005009
POL-16619,MEMBER-001161
POL-13821,MEMBER-000270
POL-13821,MEMBER-006507
POL-18059,MEMBER-006016
POL-18059,MEMBER-003219
POL-18059,MEMBER-003177
POL-18059,MEMBER-005613
POL-13720,MEMBER-004319
POL-13720,MEMBER-000952
POL-16113,MEMBER-001883
POL-16113,MEMBER-000365
POL-16113,MEMBER-004835
POL-16519,MEMBER-004062
POL-14298,MEMBER-000619
POL-12562,MEMBER-002010
POL-13167,MEMBER-006395
POL-13167,MEMBER-001156
POL-19881,MEMBER-004114
POL-19881,MEMBER-000526
POL-15573,MEMBER-001841
POL-15573,MEMBER-002330
POL-15573,MEMBER-000529
POL-15573,MEMBER-006330
POL-15573,MEMBER-002768
POL-10410,MEMBER-004842
POL-10410,MEMBER-005142
POL-10410,MEMBER-000499
POL-10410,MEMBER-001006
POL-13406,MEMBER-001074
POL-13406,MEMBER-002588
POL-13406,MEMBER-000003
POL-18537,MEMBER-000775
POL-18537,MEMBER-002538
POL-14948,MEMBER-004344
POL-14948,MEMBER-006199
POL-14948,MEMBER-004768
POL-14948,MEMBER-001023
POL-14948,MEMBER-002009
POL-13600,MEMBER-001852
POL-13600,MEMBER-002760
POL-16986,MEMBER-000911
POL-16986,MEMBER-001370
POL-11065,MEMBER-001394
POL-11065,MEMBER-006449
POL-11065,MEMBER-003303
POL-11065,MEMBER-000996
POL-12694,MEMBER-003327
POL-12694,MEMBER-004535
POL-14246,MEMBER-001346
POL-14246,MEMBER-005184
POL-14408,MEMBER-001246
POL-14408,MEMBER-002444
POL-16681,MEMBER-006285
POL-16681,MEMBER-005201
POL-16681,MEMBER-003362
POL-10043,MEMBER-001841
POL-10043,MEMBER-005708
POL-10043,MEMBER-000944
POL-10043,MEMBER-001296
POL-17211,MEMBER-001074
POL-17211,MEMBER-002081
POL-17211,MEMBER-001394
POL-17211,MEMBER-003145
POL-17211,MEMBER-002851
POL-15145,MEMBER-003761
POL-15145,MEMBER-002750
POL-13322,MEMBER-005388
POL-13322,MEMBER-005818
POL-17765,MEMBER-004020
POL-13246,MEMBER-002875
POL-13246,MEMBER-006634
POL-13246,MEMBER-001440
POL-13246,MEMBER-000383
POL-10367,MEMBER-005358
POL-10367,MEMBER-004158
POL-10367,MEMBER-000492
POL-10600,MEMBER-000688
POL-15668,MEMBER-002650
POL-15668,MEMBER-004621
POL-12473,MEMBER-000272
POL-17119,MEMBER-002036
POL-17119,MEMBER-005796
POL-17968,MEMBER-000149
POL-17968,MEMBER-001582
POL-15842,MEMBER-004065
POL-15842,MEMBER-000615
POL-15842,MEMBER-003811
POL-18980,MEMBER-006478
POL-18980,MEMBER-004375
POL-18980,MEMBER-003000
POL-18980,MEMBER-006157
POL-11928,MEMBER-004674
POL-11928,MEMBER-006961
POL-11928,MEMBER-000029
POL-19724,MEMBER-004881
POL-19724,MEMBER-006597
POL-19724,MEMBER-006902
POL-19724,MEMBER-002408
POL-16287,MEMBER-000002
POL-16287,MEMBER-003526
POL-16287,MEMBER-005025
POL-16287,MEMBER-000257
POL-19854,MEMBER-006809
POL-19854,MEMBER-006172
POL-19854,MEMBER-003409
POL-19854,MEMBER-000294
POL-19854,MEMBER-001908
POL-18037,MEMBER-001643
POL-18037,MEMBER-004092
POL-10363,MEMBER-002786
POL-10363,MEMBER-004895
POL-10363,MEMBER-003282
POL-10363,MEMBER-000966
POL-10363,MEMBER-004028
POL-11379,MEMBER-002271
POL-11379,MEMBER-005163
POL-11379,MEMBER-005896
POL-11379,MEMBER-006727
POL-15479,MEMBER-006639
POL-19450,MEMBER-006860
POL-19450,MEMBER-002022
POL-19450,MEMBER-000115
POL-19450,MEMBER-001095
POL-19450,MEMBER-002147
POL-10748,MEMBER-004953
POL-14024,MEMBER-003950
POL-14024,MEMBER-002701
POL-14024,MEMBER-002521
POL-14024,MEMBER-003446
POL-14479,MEMBER-005599
POL-14479,MEMBER-001374
POL-15366,MEMBER-005628
POL-15366,MEMBER-004010
POL-15366,MEMBER-003015
POL-15366,MEMBER-004507
POL-16725,MEMBER-000919
POL-11357,MEMBER-003619
POL-11357,MEMBER-000264
POL-11357,MEMBER-004834
POL-11357,MEMBER-002361
POL-11357,MEMBER-000692
POL-12553,MEMBER-002374
POL-18060,MEMBER-002803
POL-18060,MEMBER-003163
POL-10027,MEMBER-004327
POL-10027,MEMBER-005549
POL-10027,MEMBER-002203
POL-10027,MEMBER-003358
POL-10027,MEMBER-001136
POL-12367,MEMBER-003341
POL-12367,MEMBER-001657
POL-12367,MEMBER-004347
POL-12367,MEMBER-001941
POL-16479,MEMBER-005708
POL-16479,MEMBER-000917
POL-16479,MEMBER-000439
POL-19190,MEMBER-000782
POL-19190,MEMBER-005277
POL-13382,MEMBER-003645
POL-13382,MEMBER-002297
POL-13382,MEMBER-005354
POL-13382,MEMBER-002007
POL-13759,MEMBER-001221
POL-13759,MEMBER-004965
POL-13759,MEMBER-005434
POL-13759,MEMBER-005876
POL-16021,MEMBER-002337
POL-16021,MEMBER-003204
POL-16877,MEMBER-005101
POL-16877,MEMBER-000327
POL-10030,MEMBER-006535
POL-10030,MEMBER-005699
POL-10030,MEMBER-005066
POL-10030,MEMBER-000417
POL-10030,MEMBER-005367
POL-10417,MEMBER-000557
POL-10417,MEMBER-004347
POL-10417,MEMBER-004925
POL-10417,MEMBER-001722
POL-17179,MEMBER-000770
POL-11059,MEMBER-001927
POL-11059,MEMBER-003030
POL-11059,MEMBER-006118
POL-11059,MEMBER-006740
POL-11059,MEMBER-002414
POL-19140,MEMBER-006502
POL-19140,MEMBER-005100
POL-19140,MEMBER-000911
POL-19140,MEMBER-004072
POL-10136,MEMBER-004948
POL-10136,MEMBER-000581
POL-10136,MEMBER-004640
POL-10136,MEMBER-005789
POL-18458,MEMBER-004199
POL-18458,MEMBER-000785
POL-12006,MEMBER-005910
POL-12006,MEMBER-001473
POL-12006,MEMBER-005591
POL-12006,MEMBER-002126
POL-12006,MEMBER-003334
